MATERIAL,Espesor (mm),Cost instal·lat (€/m2) ,A1-A2-A3,A4,A5,A1-A2-A3,A4,A5
SATE_EPS,60,79.57,10.2,0.65,0.03,192.396,8.812,0.184
SATE_EPS,80,83.31,11.85,0.81,0.03,234.056,10.949,0.184
SATE_EPS,100,87.55,13.54,0.97,0.03,276.043,13.088,0.184
SATE_EPS,120,91.01,15.18,1.13,0.03,317.52,15.225,0.184
SATE_EPS,140,93.42,16.82,1.29,0.03,358.893,17.362,0.184
SATE_EPS_grafitado,60,81.98,9.04,0.65,0.03,141.583,8.813,0.184
SATE_EPS_grafitado,80,86.06,10.32,0.81,0.03,166.458,10.95,0.184
SATE_EPS_grafitado,100,90.06,11.61,0.97,0.03,191.385,13.088,0.184
SATE_EPS_grafitado,120,94.03,12.86,1.13,0.03,215.712,15.225,0.184
SATE_EPS_grafitado,140,103,14.12,1.29,0.03,240.117,17.362,0.184
XPS,60,142.35,86.18,2.81,0.04,1322.37,38.03,0.272
XPS,80,145.68,88.05,2.97,0.04,1377.35,40.149,0.272
XPS,100,148.81,89.79,3.13,0.04,1430.04,42.26,0.272
XPS,120,151.95,91.54,3.28,0.04,1482.73,44.379,0.272
XPS,140,155.13,93.28,3.44,0.04,1535.43,46.494,0.272
Corcho_natural,60,166.9,57.49,2.56,0.0036,842.08,34.6,0.249
Corcho_natural,80,177.76,53.34,2.72,0.0036,862.66,36.72,0.249
Corcho_natural,100,189.49,49.18,2.87,0.0036,883.24,38.84,0.249
Corcho_natural,120,201.24,45.03,3.03,0.0036,903.8,40.95,0.249
Corcho_natural,140,212.95,36.8,3.34,0.0036,944.54,45.14,0.249
Lanaroca_pladur,60,82.18,24.29,1.03,0.0014,829.03,13.98,0.096
Lanaroca_pladur,80,94.4,28.07,1.91,0.0014,968.26,16.09,0.096
Corcho_pladur,60,81.05,0.44,1.14,0.04,471.12,13.98,0.026
Corcho_pladur,80,92.09,-3.72,13.97,0.04,491.27,16.07,0.026
Fusteries_PVC_4-14-6_BE,1,676.97,148.43,2.25,0.1,1561.78,30.348,0.71
Fusteries_PINO_4-14-6_BE,1,1272.35,2.54,2.54,0.1,1136.2,34.384,0.67
